ip,username,password,label
244.46.131.186,zheng,billgates1/3,0
190.227.151.242,1;SELECT%20*,' or user like '%,1
169.242.214.240,li,sexy@139.com,0
138.216.231.94,quan,111222.net,0
190.148.248.1,xue,1%killer,0
6.230.10.34,xiao,@u63.com1000,0
134.175.22.187,bai,url@163.com,0
22.97.217.243,"<% foo><x foo=""%><script>alert(875)</script>"">","<IMG SRC=""javascript:alert(1714);"">",1
50.181.52.172,kang,%0l23456789,0
53.242.98.236,tan,31-Jul,0
138.216.231.94,quan,111222.net,0
53.242.98.236,tan,31-Jul,0
6.230.10.34,xiao,@163.com1000,0
50.181.52.172,kang,%0l23456789,0
22.97.217.243,"<iframe/src=""data:text/html,<svg &#168516851685;&#168516850;load=alert(1685)>"">","<! foo=""[[[Inception]]""><x foo=""]foo><script>alert(874)</script>"">",1
169.242.214.240,li,sexy@139.com,0
190.148.248.1,xue,1%killer,0
134.175.22.187,bai,url@163.com,0
190.227.151.242,t'exec master..xp_cmdshell 'nslookup www.google.com'--,/,1
244.46.131.186,zheng,billgates1/3,0
6.230.10.34,xiao,@163.com1000,0
53.242.98.236,tan,31-Jul,0
138.216.231.94,quan,111222.net,0
134.175.22.187,bai,url@163.com,0
169.242.214.240,li,sexy@139.com,0
190.148.248.1,xue,1%killer,0
190.227.151.242,or%201=1 --,hi' or 1=1 --,1
22.97.217.243,&lt;IMG SRC=&quot;jav&amp;#x0A;ascript:alert(1849);&quot;&gt;,"<svg onload=""javascript:alert(972)"" xmlns=""#""></svg>",1
50.181.52.172,kang,%0l23456789,0
244.46.131.186,zheng,billgates1/3,0
6.230.10.34,xiao,@163.com1000,0
138.216.231.94,quan,111222.net,0
53.242.98.236,tan,31-Ju[l,0
50.181.52.172,kang,%0l23456789,0
134.175.22.187,bai,url@163.com,0
244.46.131.186,zheng,billgates1/3,0
190.148.248.1,xue,1%killer,0
190.227.151.242,' or uname like '%,having,1
22.97.217.243,"<img[a][b][c]src[d]=x[e]onerror=[f]""alert(625)"">","<a href=""\x0Djavascript:javascript:alert(472)"" id=""fuzzelement472"">test</a>",1
169.242.214.240,li,sexy@139.com,0
6.230.10.34,xiao,@163.com1000,0
138.216.231.94,quan,111222Knet,0
53.242.98.236,tan,31-Jul,0
134.175.22.187,bai,url@163.com,0
50.181.52.172,kang,%0l23456789,0
190.227.151.242,*(|(objectclass=*)),//*,1
190.148.248.1,xue,1%killer,0
169.242.214.240,li,sexy@139.com,0
22.97.217.243,"<IMG onmouseover=""alert(725)"">",<img src=xss onerror=alert(1960)>,1
244.46.131.186,zheng,billgates1/3,0
53.242.98.236,tan,31-Jul,0
6.230.10.34,xiao,@63.com1000,0
138.216.231.94,quan,111222.net,0
134.175.22.187,bai,url@163.com,0
50.181.52.172,kang,%0l23456789,0
190.227.151.242,0 or 1=1,hi') or ('a'='a,1
22.97.217.243,<iframe/onreadystatechange=alert(1160),"<IMG SRC=x onvolumechange=""alert(1127))"">",1
169.242.214.240,li,sexy@139.com,0
190.148.248.1,xue,1%killer,0
244.46.131.186,zheng,billgates1/3,0
53.242.98.236,tan,31-Jul,0
6.230.10.34,xiao,@163.com1000,0
138.216.231.94,quan,111222.net,0
134.175.22.187,bai,url@163.com,0
50.181.52.172,kang,%0l23456789,0
169.242.214.240,li,sexy@139.com,0
190.227.151.242,replace,'%20or%201=1,1
190.148.248.1,xue,1%killer,0
22.97.217.243,<iframe src=javascript:alert(197)>,<scrscriptipt>alert(1757)</scrscriptipt>,1
244.46.131.186,zheng,billgates1/3,0
